Study_ID,Species,subspecies,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,type
571,Thomomys mazama,NA,"Witmer, GW; Sayler, RD; Pipas, MJ","Biology and habitat use of the Mazama pocket gopher (Thomomys mazama) in the Puget Sound area, Washington",Northwest Science,1996,70,2,93-98,WASHINGTON STATE UNIV,"PO BOX 645910, PULLMAN, WA 99164-5910",0029-344X,NA,Article
580,Bison bison,NA,"Merkle, JA; Cherry, SG; Fortin, D",Bison distribution under conflicting foraging strategies: site fidelity vs. energy maximization,Ecology,2015,96,7,1793-1801,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9658,10.1890/14-0805.1,Article
583,Ursus americanus,NA,"Mosnier, A; Ouellet, JP; Courtois, R",Black bear adaptation to low productivity in the boreal forest,Ecoscience,2008,15,4,485-497,TAYLOR \& FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",1195-6860,10.2980/15-4-3100,Review
596,Diceros bicornis,NA,"Frame, G. W.","Black rhinoceros (Diceros bicornis L) sub-population on the Serengeti Plains, Tanzania African Journal of Ecology 18:155-166.",African Journal Of Ecology,1980,18,02/Mar,155-166,BLACKWELL SCIENCE LTD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0141-6707,10.1111/j.1365-2028.1980.tb00639.x,Article
601,Blarina carolinensis,NA,"McCay, T. S.",Blarina carolinensis Mammalian Species 673:1-7.,Mammalian Species,2001,NA,673,1--7,"American Society of Mammalogists, Oxford University Press",NA,NA,https://doi.org/10.1644/1545-1410(2001)673<0001:BC>2.0.CO,Article
603,Lynx rufus,NA,"Dunagan, SP; Karels, TJ; Moriarty, JG; Brown, JL; Riley, SPD",Bobcat and rabbit habitat use in an urban landscape,Journal Of Mammalogy,2019,100,2,401-409,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyz062,Article
605,Lynx rufus,NA,"Conner, LM; Chamberlain, MJ; Leopold, BD",Bobcat home range size relative to habitat quality,NA,2001,NA,NA,418-426,SOUTHEASTERN ASSOCIATION FISH \& WILDLIFE AGENCIES (SEAFWA),"8005 FRESHWATER FARMS RD, TALLAHASSEE, FL 32308 USA",NA,NA,Book
607,Lynx rufus,NA,"LAWHEAD, DN","BOBCAT LYNX-RUFUS HOME RANGE, DENSITY AND HABITAT PREFERENCE IN SOUTH-CENTRAL ARIZONA",Southwestern Naturalist,1984,29,1,105-113,SOUTHWESTERN ASSN NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.2307/3670775,Article
650,Trinomys yonenagae,NA,"Santos, JWA; Lacey, EA","Burrow sharing in the desert-adapted torch-tail spiny rat, Trinomys yonenagae",Journal Of Mammalogy,2011,92,1,03/Nov,ALLIANCE COMMUNICATIONS GROUP DIVISION ALLEN PRESS,"810 EAST 10TH STREET, LAWRENCE, KS 66044 USA",0022-2372,10.1644/09-MAMM-S-389.1,Article
652,Lasiorhinus latifrons,NA,"Finlayson, GR; Shimmin, GA; Temple-Smith, PD; Handasyde, KA; Taggart, DA","Burrow use and ranging behaviour of the southern hairy-nosed wombat (Lasiorhinus latifrons) in the Murraylands, South Australia",Journal Of Zoology,2005,265,2,189-200,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S095283690400620X,Article
