"original_study_ID";"new_study_ID"
"5330";547
"5331";548
"5349";549
"5354";550
"5357";551
"5372";552
"5376";553
"5383";554
"5413";555
"5432";556
"5447";557
"5457";558
"5479";559
"5484";560
"5485";561
"5489";562
"5492";563
"5498";564
"5505";565
"5525";566
"5531";567
"5542";568
"5551";569
"5555";570
"5583";571
"5584";572
"5591";573
"5607";574
"5612";575
"5624";576
"5631";577
"5644";578
"5645";579
"5655";580
"5666";581
"5667";582
"5672";583
"5686";584
"5698";585
"5711";586
"5713";587
"5715";588
"5723";589
"5729";590
"5730";591
"5731";592
"5732";593
"5735";594
"5745";595
"5747";596
"5748";597
"5750";598
"5756";599
"5757";600
"5758";601
"5771";602
"5778";603
"5784";604
"5785";605
"5786";606
"5790";607
"5791";608
"5792";609
"5794";610
"5795";611
"5801";612
"5816";613
"5818";614
"5820";615
"5825";616
"5832";617
"5844";618
"5847";619
"5853";620
"5869";621
"5908";622
"6000";623
"6011";624
"6068";625
"6087";626
"6176";627
"6207";628
"6277";629
"6282";630
"6321";631
"6362";632
"6400";633
"6434";634
"6452";635
"6462";636
"6472";637
"6496";638
"6607";639
"6741";640
"6862";641
"6981";642
"6989";643
"55";644
"211";645
"950";646
"991";647
"1065";648
"1118";649
"1145";650
"1492";651
"4101";652
"4109";653
"4112";654
"4119";655
"4122";656
"4129";657
"4143";658
"4144";659
"4147";660
"4149";661
"4154";662
"4271";663
"4282";664
"4292";665
"4304";666
"4333";667
"4360";668
"4387";669
"4405";670
"4407";671
"4455";672
"4466";673
"4468";674
"4474";675
"4497";676
"4514";677
"4531";678
"4543";679
"4544";680
"4559";681
"4565";682
"4594";683
"4597";684
"4598";685
"4600";686
"4611";687
"4633";688
"4634";689
"4647";690
"4692";691
"4706";692
"4713";693
"4715";694
"4716";695
"4719";696
"4721";697
"4748";698
"4755";699
"4757";700
"4773";701
"4782";702
"4789";703
"4797";704
"4799";705
"4802";706
"4804";707
"4810";708
"4813";709
"4821";710
"4823";711
"4836";712
"4837";713
"4841";714
"4869";715
"4870";716
"4874";717
"4878";718
"4882";719
"4883";720
"4884";721
"4886";722
"4888";723
"4889";724
"4890";725
"4891";726
"4902";727
"4905";728
"4906";729
"4941";730
"4949";731
"4956";732
"4957";733
"4963";734
"5026";735
"5049";736
"5055";737
"5057";738
"5058";739
"5060";740
"5068";741
"5069";742
"5076";743
"5086";744
"5091";745
"5115";746
"5118";747
"5139";748
"5146";749
"5153";750
"5154";751
"5180";752
"5199";753
"5209";754
"5214";755
"5225";756
"5233";757
"5246";758
"5252";759
"5256";760
"5271";761
"5274";762
"5279";763
"5280";764
"5304";765
"5313";766
"5334";767
"5335";768
"5347";769
"5348";770
"5350";771
"5359";772
"5365";773
"5381";774
"5382";775
"5403";776
"5421";777
"5430";778
"5445";779
"5451";780
"5453";781
"5473";782
"5477";783
"5496";784
"5501";785
"5517";786
"5535";787
"5536";788
"5575";789
"5589";790
"5613";791
"5616";792
"5618";793
"5620";794
"5643";795
"5647";796
"5648";797
"5673";798
"5699";799
"5703";800
"5724";801
"5725";802
"5740";803
"5741";804
"5742";805
"5755";806
"5767";807
"5770";808
"5776";809
"5779";810
"5781";811
"5793";812
"5798";813
"5803";814
"1500";815
"1508";816
"1520";817
"1703";818
"2107";819
"2187";820
"2256";821
"2289";822
"2462";823
"2504";824
"2533";825
"2596";826
"2765";827
"2778";828
"2854";829
"2958";830
"2982";831
"3008";832
"3518";833
"3734";834
"4115";835
"4160";836
"4353";837
"4358";838
"4574";839
"4608";840
"4899";841
"5500";842
"5503";843
"5532";844
"5580";845
"5733";846
"5819";847
"6417";848
"6599";849
"6600";850
"7179";851
"6476";852
"6492";853
"6507";854
"6510";855
"6517";856
"6541";857
"6573";858
"6604";859
"6609";860
"6611";861
"6614";862
"6628";863
"6685";864
"6687";865
"6689";866
"6695";867
"6745";868
"6777";869
"6783";870
"6849";871
"6864";872
"6872";873
"6873";874
"6878";875
"6887";876
"6903";877
"6917";878
"6940";879
"6961";880
"6962";881
"7000";882
"7003";883
"7008";884
"7043";885
"7051";886
"7057";887
"7140";888
"7144";889
"7174";890
"7187";891
"7193";892
"7195";893
"7199";894
"7204";895
"6985";896
"7005";897
"7010";898
"7017";899
"7059";900
"7082";901
"7092";902
"7110";903
"7116";904
"7139";905
"7147";906
"7158";907
"7169";908
"7186";909
"7210";910
"3472";911
"3";912
"25";913
"45";914
"66";915
"135";916
"167";917
"175";918
"192";919
"197";920
"204";921
"207";922
"209";923
"217";924
"219";925
"220";926
"228";927
"238";928
"239";929
"245";930
"256";931
"289";932
"299";933
"300";934
"302";935
"308";936
"309";937
"315";938
"349";939
"371";940
"381";941
"390";942
"414";943
"426";944
